id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,Unnamed: 16,rac,img,dyn,decision,feature
20260322_152502_180650,32.79375,-0.031049999999999953,-0.013500000000000036,2.1999999999999997,19.299999999999997,32.7375,32.990624999999994,32.821875,32.934374999999996,0.001715266,-0.006003430499999998,-0.0008576329999999981,-0.004288164499999994,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_180650.jpg,,0.34,0.310922,0.252849,0.315180,0.306269
20260322_152502_180650,32.79375,-0.020124999999999976,-0.021700000000000014,2.0949999999999998,18.8,32.7375,32.9765625,32.807812500000004,32.8921875,0.001715266,-0.005574614249999999,-0.0004288164999999989,-0.0030017152499999967,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_180650.jpg,,0.34,0.310922,0.260448,0.311801,0.309507
20260322_152502_430650,32.79375,-0.0092000000000001,-0.029899999999999857,1.99,18.3,32.7375,32.9625,32.79375,32.85,0.0017152659999999924,-0.005145797999999997,-3.8151992676205244e-18,-0.0017152660000000115,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_430650.jpg,,0.34,0.294835,0.267126,0.305312,0.311415
20260322_152502_430650,32.7796875,-0.02060000000000005,-0.013899999999999926,1.9975,18.35,32.7515625,32.934374999999996,32.79375,32.878125000000004,0.0008568962499999962,-0.004718454999999998,-0.00042955325000000187,-0.0030046625000000058,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_430650.jpg,,0.34,0.294835,0.274616,0.300960,0.315829
20260322_152502_430650,32.765625,-0.0320000000000001,0.002100000000000147,2.005,18.400000000000002,32.765625,32.90625,32.79375,32.90625,-1.4735000000076423e-06,-0.004291111999999996,-0.0008591065000000037,-0.0042940590000000115,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_430650.jpg,,0.34,0.294835,0.272415,0.297603,0.313934
20260322_152502_430650,32.7515625,-0.04340000000000005,0.01810000000000007,2.0125,18.45,32.7796875,32.878125,32.79375,32.934375,-0.0008598432500000037,-0.003863768999999998,-0.0012886597500000017,-0.005583455500000006,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_430650.jpg,,0.34,0.294835,0.265121,0.294584,0.308599
20260322_152502_680650,32.7375,-0.0548,0.0341,2.02,18.5,32.79375,32.85,32.79375,32.9625,-0.001718213,-0.003436426,-0.001718213,-0.006872852,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_680650.jpg,,0.34,0.299052,0.262952,0.293116,0.306256
20260322_152502_680650,32.793749999999996,-0.060000000000000026,0.03627500000000001,2.1025000000000005,18.875,32.737500000000004,32.85,32.709375,32.9203125,0.0016976882500000158,-0.0017240772499999926,0.0025509307500000194,-0.0038747754999999863,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_680650.jpg,,0.34,0.299052,0.259503,0.291698,0.304860
20260322_152502_680650,32.849999999999994,-0.06520000000000001,0.03845,2.185,19.25,32.681250000000006,32.85,32.625,32.878125,0.0051135895000000015,-1.1728500000000516e-05,0.0068200745,-0.0008766989999999999,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_680650.jpg,,0.34,0.299052,0.266821,0.291164,0.305290
20260322_152502_680650,32.90625,-0.07040000000000002,0.04062500000000001,2.2675000000000005,19.625,32.625,32.85,32.540625,32.8359375,0.008529490750000018,0.0017006202500000072,0.01108921825000002,0.0021213775000000134,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_680650.jpg,,0.34,0.299052,0.286217,0.292347,0.307409
20260322_152502_930650,32.9625,-0.0756,0.0428,2.35,20.0,32.56875,32.85,32.45625,32.79375,0.011945392,0.003412969,0.015358362,0.005119454,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_930650.jpg,,0.34,0.280666,0.303716,0.291075,0.309635
20260322_152502_930650,32.9765625,-0.06822500000000002,0.024750000000000036,2.5949999999999998,20.775,32.6671875,32.878125,32.540625,32.85,0.009384938500000006,0.002985621250000001,0.013222349000000005,0.0038395905000000027,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_930650.jpg,,0.34,0.280666,0.300988,0.290014,0.308537
20260322_152502_930650,32.990625,-0.06084999999999997,0.006699999999999914,2.840000000000001,21.550000000000004,32.765625,32.90625,32.625,32.90625,0.0068244849999999895,0.0025582734999999982,0.011086335999999992,0.0025597269999999943,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_930650.jpg,,0.34,0.280666,0.289205,0.288130,0.306248
20260322_152502_930650,33.004687499999996,-0.05347499999999998,-0.01135000000000004,3.085000000000001,22.325000000000003,32.8640625,32.934375,32.709375,32.9625,0.004264031499999994,0.0021309257499999993,0.008950322999999996,0.0012798634999999971,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152502_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152502_930650.jpg,,0.34,0.280666,0.276717,0.285440,0.303760
20260322_152503_180650,33.01875,-0.04610000000000012,-0.029399999999999822,3.33,23.100000000000005,32.9625,32.9625,32.79375,33.01875,0.001703578000000015,0.001703577999999985,0.006814309999999988,-1.5079428816733286e-17,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152503_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152503_180650.jpg,,0.34,0.303877,0.260844,0.286102,0.307450
20260322_152503_180650,33.046875,-0.059450000000000065,-0.009499999999999908,3.35,23.600000000000005,32.934374999999996,33.046875,32.8640625,33.103125,0.003399924500000008,4.3387499999926644e-06,0.005535180749999994,-0.0016977927500000077,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152503_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152503_180650.jpg,,0.34,0.303877,0.248044,0.285306,0.307725
20260322_152503_180650,33.074999999999996,-0.0728,0.010400000000000003,3.37,24.1,32.90625,33.131249999999994,32.934375,33.1875,0.005096271,-0.0016949005,0.0042560515,-0.0033955855,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152503_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152503_180650.jpg,,0.34,0.303877,0.238290,0.283992,0.306223
20260322_152503_180650,33.103125,-0.08615000000000006,0.030300000000000094,3.39,24.600000000000005,32.878125,33.215624999999996,33.0046875,33.271875,0.0067926175000000075,-0.0033941397500000074,0.0029769222499999946,-0.005093378250000008,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152503_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152503_180650.jpg,,0.34,0.303877,0.238933,0.283411,0.304850
20260322_152503_430650,33.13125,-0.0995,0.0502,3.41,25.1,32.85,33.3,33.075,33.35625,0.008488964,-0.005093379,0.001697793,-0.006791171,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152503_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152503_430650.jpg,,0.34,0.315006,0.251430,0.286705,0.306395
