id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac,img,dyn,decision,feature
20260322_152128_587483,32.1046875,-0.005424999999999999,-0.015999999999999986,-2.3425,-2.1500000000000004,32.146875,31.921875,32.34375,32.00625,-0.0013157895000000003,0.00569256925,-0.007451547750000002,0.0030609902499999985,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152128_587483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152128_587483.jpg,0.45,0.417370,0.364679,0.394608,0.411881
20260322_152128_837483,32.0625,-0.0047,-0.005299999999999989,-2.34,-2.2,32.11875,31.89375,32.34375,32.00625,-0.001754386000000001,0.0052631579999999996,-0.008771929999999999,0.001754386000000001,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152128_837483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152128_837483.jpg,0.45,0.416559,0.377370,0.396699,0.394453
20260322_152128_837483,32.0484375,-0.004675,-0.0001999999999999962,-2.36,-2.3000000000000003,32.11875,31.89375,32.301562499999996,31.978125000000002,-0.002194524,0.004826103,-0.0078970495,0.002194524,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152128_837483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152128_837483.jpg,0.45,0.416559,0.390408,0.399610,0.396915
20260322_152128_837483,32.034375,-0.00465,0.004900000000000008,-2.38,-2.4000000000000004,32.11875,31.89375,32.259375,31.95,-0.0026346620000000003,0.0043890479999999996,-0.007022169,0.0026346620000000003,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152128_837483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152128_837483.jpg,0.45,0.416559,0.407253,0.403567,0.399896
20260322_152128_837483,32.0203125,-0.004625,0.009999999999999998,-2.4,-2.5,32.11875,31.89375,32.2171875,31.921875,-0.0030748,0.003951993,-0.0061472885000000005,0.0030748,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152128_837483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152128_837483.jpg,0.45,0.416559,0.426474,0.408707,0.403480
20260322_152129_087483,32.00625,-0.0046,0.0151,-2.42,-2.6,32.11875,31.89375,32.175,31.89375,-0.003514938,0.003514938,-0.005272408,0.003514938,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152129_087483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152129_087483.jpg,0.45,0.455541,0.446343,0.421570,0.397583
20260322_152129_087483,32.00625,-0.009475000000000004,0.006649999999999989,-2.4375,-2.6,31.9921875,31.7953125,32.1328125,31.8515625,0.0004393677500000039,0.006590509250000003,-0.003954305999999999,0.004833040000000001,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152129_087483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152129_087483.jpg,0.45,0.455541,0.446517,0.430565,0.397909
20260322_152129_087483,32.00625,-0.01435,-0.0018000000000000013,-2.455,-2.6,31.865625,31.696875,32.090625,31.809375000000003,0.004393673499999999,0.009666080499999999,-0.002636204,0.006151142,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152129_087483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152129_087483.jpg,0.45,0.455541,0.432551,0.434996,0.395661
20260322_152129_087483,32.00625,-0.019225000000000006,-0.010250000000000014,-2.4725,-2.6,31.7390625,31.5984375,32.0484375,31.767187500000002,0.008347979250000004,0.012741651750000003,-0.001318101999999999,0.007469244000000002,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152129_087483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152129_087483.jpg,0.45,0.455541,0.409891,0.435242,0.391828
20260322_152129_337483,32.00625,-0.0241,-0.0187,-2.49,-2.6,31.6125,31.5,32.00625,31.725,0.012302285,0.015817223,0.0,0.008787346,train/episode_11__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152129_337483.jpg,train/episode_11__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152129_337483.jpg,0.45,0.449668,0.384152,0.431519,0.393453
