id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac,img,dyn,decision,feature
20260206_124519_383108,24.46875,0.014400000000000017,0.01959999999999997,0.2699999999999998,5.9,24.13125,24.13125,24.24375,24.24375,0.013793102999999998,0.013793102999999998,0.009195402,0.009195402000000002,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_383108.jpg,0.8,0.835994,0.744692,0.788219,0.842963
20260206_124519_383108,24.3984375,0.021975,0.007624999999999993,0.17999999999999997,5.75,24.0890625,24.075,24.1734375,24.159374999999997,0.012670408749999999,0.013251803999999999,0.009222133,0.00980352825,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_383108.jpg,0.8,0.835994,0.725768,0.793700,0.841242
20260206_124519_383108,24.328125,0.029550000000000007,-0.004350000000000014,0.08999999999999991,5.6,24.046875,24.01875,24.103125,24.075,0.011547714499999999,0.012710504999999999,0.009248864,0.0104116545,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_383108.jpg,0.8,0.835994,0.717763,0.798421,0.840146
20260206_124519_383108,24.2578125,0.03712499999999999,-0.016324999999999992,5.551115123125783e-17,5.45,24.0046875,23.962500000000002,24.0328125,23.990625,0.01042502025,0.012169206,0.009275595,0.01101978075,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_383108.jpg,0.8,0.835994,0.718880,0.802523,0.839740
20260206_124519_633108,24.1875,0.0447,-0.0283,-0.09,5.3,23.9625,23.90625,23.9625,23.90625,0.009302326,0.011627907,0.009302326,0.011627907,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_633108.jpg,0.8,0.775158,0.719966,0.790307,0.834944
20260206_124519_633108,24.1171875,0.033024999999999985,-0.029225,-0.07749999999999999,5.475,23.7515625,23.7234375,23.807812499999997,23.7234375,0.015212038500000007,0.016367989000000006,0.012859097500000003,0.016367989000000006,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_633108.jpg,0.8,0.775158,0.713939,0.781335,0.833691
20260206_124519_633108,24.046875,0.021349999999999997,-0.03015,-0.065,5.65,23.540625,23.540625,23.653125,23.540625,0.021121751,0.021108071,0.016415869,0.021108071,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_633108.jpg,0.8,0.775158,0.705182,0.774549,0.832502
20260206_124519_633108,23.9765625,0.009674999999999982,-0.031075000000000002,-0.052499999999999984,5.825,23.3296875,23.3578125,23.498437499999998,23.3578125,0.02703146350000001,0.025848153000000006,0.019972640500000003,0.025848153000000006,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_633108.jpg,0.8,0.775158,0.701738,0.769723,0.832065
20260206_124519_883108,23.90625,-0.002,-0.032,-0.04,6.0,23.11875,23.175,23.34375,23.175,0.032941176,0.030588235,0.023529412,0.030588235,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_883108.jpg,0.8,0.845875,0.708506,0.786428,0.825186
20260206_124519_883108,23.779687499999998,0.0011250000000000036,-0.029124999999999998,-0.01999999999999998,6.05,23.034374999999997,23.0625,23.203125,23.0625,0.031316459,0.030152714749999997,0.024257636,0.030152714749999997,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_883108.jpg,0.8,0.845875,0.716124,0.798736,0.825868
