id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac,img,dyn,decision,feature
20251120_181926_150369,37.18125,0.0313,0.1205,-1.2,-0.7,37.2375,37.2375,37.74375,37.575,-0.001512859,-0.001512859,-0.015128593,-0.010590015,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_150369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_150369.jpg,0.8,0.827950,nan,0.827950,nan
20251120_181926_150369,37.321875,0.028425000000000002,0.12095,-1.3,-1.275,37.40625,37.349999999999994,37.85625,37.7015625,-0.002252379,-0.000762066,-0.01432707075,-0.01017798075,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_150369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_150369.jpg,0.8,0.827950,nan,0.827950,nan
20251120_181926_150369,37.4625,0.025550000000000003,0.12140000000000001,-1.4,-1.8499999999999999,37.575,37.4625,37.96875,37.828125,-0.002991899,-1.1273000000000012e-05,-0.0135255485,-0.0097659465,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_150369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_150369.jpg,0.8,0.827950,nan,0.827950,nan
20251120_181926_150369,37.603125,0.022675,0.12185,-1.5,-2.425,37.74375,37.575,38.081250000000004,37.9546875,-0.0037314190000000006,0.0007395200000000005,-0.01272402625,-0.00935391225,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_150369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_150369.jpg,0.8,0.827950,0.792119,0.821731,0.829226
20251120_181926_400369,37.74375,0.0198,0.1223,-1.6,-3.0,37.9125,37.6875,38.19375,38.08125,-0.004470939,0.001490313,-0.011922504,-0.008941878,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_400369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_400369.jpg,0.8,0.823387,0.791844,0.816912,0.807287
20251120_181926_400369,37.9125,0.0314,0.12345,-1.725,-3.15,38.1375,37.9125,38.475,38.3203125,-0.00591542975,1.9638000000000424e-05,-0.01479839325,-0.01073276275,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_400369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_400369.jpg,0.8,0.823387,0.792323,0.813758,0.807399
20251120_181926_400369,38.081250000000004,0.04300000000000001,0.12460000000000002,-1.85,-3.3000000000000003,38.362500000000004,38.1375,38.75625,38.559375,-0.007359920500000001,-0.001451037000000001,-0.017674282500000003,-0.012523647500000002,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_400369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_400369.jpg,0.8,0.823387,0.793426,0.811845,0.807726
20251120_181926_400369,38.25,0.05460000000000001,0.12575,-1.975,-3.45,38.5875,38.3625,39.0375,38.7984375,-0.008804411250000001,-0.002921712000000001,-0.020550171750000002,-0.014314532250000001,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_400369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_400369.jpg,0.8,0.823387,0.794791,0.810815,0.808174
20251120_181926_650369,38.41875,0.0662,0.1269,-2.1,-3.6,38.8125,38.5875,39.31875,39.0375,-0.010248902,-0.004392387,-0.023426061,-0.016105417,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_650369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_650369.jpg,0.8,0.742852,0.795572,0.798329,0.819601
20251120_181926_650369,38.5453125,0.069575,0.12467500000000001,-2.13,-3.6,38.925,38.7421875,39.4875,39.178125,-0.0098543065,-0.005100648750000001,-0.024433707500000002,-0.01641432275,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_650369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_650369.jpg,0.8,0.742852,0.795033,0.789175,0.819895
20251120_181926_650369,38.671875,0.07294999999999999,0.12245,-2.16,-3.6,39.0375,38.896874999999994,39.65625,39.31875,-0.009459710999999999,-0.0058089105,-0.025441354,-0.0167232285,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_650369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_650369.jpg,0.8,0.742852,0.793616,0.782285,0.820032
20251120_181926_650369,38.7984375,0.076325,0.120225,-2.1900000000000004,-3.6,39.150000000000006,39.051562499999996,39.825,39.459375,-0.009065115499999998,-0.0065171722500000015,-0.0264490005,-0.01703213425,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_650369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_650369.jpg,0.8,0.742852,0.791591,0.776959,0.820079
20251120_181926_900369,38.925,0.07969999999999997,0.118,-2.22,-3.6,39.2625,39.20625,39.99375,39.6,-0.008670520000000006,-0.007225434000000004,-0.027456647000000004,-0.017341040000000002,train/episode_192/images/ZED_LEFT/ZED_LEFT_20251120_181926_900369.jpg,train/episode_192/images/road_img/ZED_LEFT_20251120_181926_900369.jpg,0.8,0.812363,0.789515,0.784519,0.803951
